# Replacement pairs for StandardizeSpecialChars.
# Format: from<TAB>to[<TAB># comment]. Line order defines the
# strings.Replacer registration order: when several patterns match at the
# same position, the earliest pair in this file wins.

# ============================================================
# Category 1: 住所パターン (addressPatterns)
# 複数文字の変換、住所特有のパターン
# ============================================================
# Kyoto street name patterns: 入ル → 入 (DB uses 入 without ル)
東入ル	東入
西入ル	西入
# Multi-character mappings
楠木	楠
# Character to multi-character
鸙	雲雀
桵	たら
# ABR外字縮退マップより（1文字→複数文字）
𢉿	から	# U+2227F → ひらがな
彈	弾	# 彈(U+5F48): 1, 弾(U+5F3E): 32 in DB
徑	径	# 徑(U+5F91): 0, 径(U+5F84): 2 in DB
應	応	# 應(U+61C9): 10, 応(U+5FDC): 133 in DB
恆	恒	# 恆(U+6046): 0, 恒(U+6052): 113 in DB
愼	慎	# 愼(U+613C): 0, 慎(U+614E): 1 in DB
懷	懐	# 懷(U+61F7): 0, 懐(U+61D0): 128 in DB
拂	払	# 拂(U+62C2): 23, 払(U+6255): 431 in DB
據	拠	# 據(U+64DA): 0, 拠(U+62E0): 2 in DB
挾	挟	# 挾(U+633E): 76, 挟(U+631F): 31 in DB
數	数	# 數(U+6578): 0, 数(U+6570): 260 in DB
齋	斎	# 齋(U+9F4B): 5, 斎(U+658E): 523 in DB
曉	暁	# 曉(U+66C9): 0, 暁(U+6681): 28 in DB
棧	桟	# 棧(U+68E7): 10, 桟(U+685F): 36 in DB
齒	歯	# 齒(U+9F52): 0, 歯(U+6B6F): 64 in DB
殘	残	# 殘(U+6B98): 0, 残(U+6B8B): 37 in DB
殼	殻	# 殼(U+6BBC): 1, 殻(U+6BBB): 33 in DB
淨	浄	# 淨(U+6DE8): 10, 浄(U+6D44): 773 in DB
濟	済	# 濟(U+6FDF): 1, 済(U+6E08): 43 in DB
濕	湿	# 濕(U+6FD5): 2, 湿(U+6E7F): 16 in DB
滿	満	# 滿(U+6EFF): 1, 満(U+6E80): 981 in DB
滯	滞	# 滯(U+6EEF): 0, 滞(U+6EDE): 3 in DB
爐	炉	# 爐(U+7210): 0, 炉(U+7089): 6 in DB
爲	為	# 爲(U+7232): 1, 為(U+70BA): 104 in DB
燒	焼	# 燒(U+71D2): 8, 焼(U+713C): 943 in DB
獵	猟	# 獵(U+7375): 0, 猟(U+731F): 20 in DB
畫	画	# 畫(U+756B): 0, 画(U+753B): 298 in DB
癡	痴	# 癡(U+7661): 0, 痴(U+75F4): 2 in DB
盜	盗	# 盜(U+76DC): 0, 盗(U+76D7): 16 in DB
禪	禅	# 禪(U+79AA): 0, 禅(U+7985): 185 in DB
祕	秘	# 祕(U+7955): 0, 秘(U+79D8): 4 in DB
稱	称	# 稱(U+7A31): 2, 称(U+79F0): 12 in DB
穩	穏	# 穩(U+7A69): 0, 穏(U+7A4F): 3 in DB
竊	窃	# 竊(U+7ACA): 1, 窃(U+7A83): 0 in DB
縱	縦	# 縱(U+7E31): 0, 縦(U+7E26): 10 in DB
繫	繋	# 繫(U+7E6B): 100, 繋(U+7E4B): 123 in DB
膽	胆	# 膽(U+81BD): 1, 胆(U+80C6): 1116 in DB
腦	脳	# 腦(U+8166): 0, 脳(U+8133): 3 in DB
蟲	虫	# 蟲(U+87F2): 1, 虫(U+866B): 571 in DB
蠶	蚕	# 蠶(U+8836): 0, 蚕(U+8695): 226 in DB
螢	蛍	# 螢(U+87A2): 28, 蛍(U+86CD): 18 in DB
蠻	蛮	# 蠻(U+883B): 0, 蛮(U+86EE): 1 in DB
衞	衛	# 衞(U+885E): 3, 衛(U+885B): 691 in DB
霸	覇	# 霸(U+9738): 0, 覇(U+8987): 234 in DB
覽	覧	# 覽(U+89BD): 0, 覧(U+89A7): 10 in DB
譽	誉	# 譽(U+8B7D): 0, 誉(U+8A89): 46 in DB
謠	謡	# 謠(U+8B20): 0, 謡(U+8B21): 54 in DB
讓	譲	# 讓(U+8B93): 4, 譲(U+8B72): 40 in DB
豐	豊	# 豐(U+8C50): 0, 豊(U+8C4A): 33303 in DB
踐	践	# 踐(U+8E10): 0, 践(U+8DF5): 1 in DB
逹	達	# 逹(U+9039): 1, 達(U+9054): 11124 in DB
醉	酔	# 醉(U+9189): 0, 酔(U+9154): 6 in DB
釋	釈	# 釋(U+91CB): 14, 釈(U+91C8): 266 in DB
錢	銭	# 錢(U+9322): 1, 銭(U+92AD): 219 in DB
鑄	鋳	# 鑄(U+9444): 3, 鋳(U+92F3): 178 in DB
鎭	鎮	# 鎭(U+93AD): 2, 鎮(U+93AE): 71 in DB
關	関	# 關(U+95DC): 0, 関(U+95A2): 9826 in DB
隨	随	# 隨(U+96A8): 8, 随(U+968F): 26 in DB
隱	隠	# 隱(U+96B1): 0, 隠(U+96A0): 1133 in DB
雜	雑	# 雜(U+96DC): 0, 雑(U+96D1): 155 in DB
靈	霊	# 靈(U+9748): 0, 霊(U+970A): 1297 in DB
顏	顔	# 顏(U+984F): 0, 顔(U+9854): 214 in DB
髮	髪	# 髮(U+9AEE): 0, 髪(U+9AEA): 46 in DB
鷄	鶏	# 鷄(U+9DC4): 0, 鶏(U+9D8F): 104 in DB
亂	乱	# 亂(U+4E82): 0, 乱(U+4E71): 62 in DB
亞	亜	# 亞(U+4E9E): 0, 亜(U+4E9C): 15 in DB

# ============================================================
# Category 4: JIS X 0213外字 (jisGaiji)
# ============================================================
髙	高	# 髙(U+9AD9): 125, 高(U+9AD8): 46526 in DB
﨑	崎	# 﨑(U+FA11): 88, 崎(U+5D0E): 55441 in DB
﨔	奄	# 﨔(U+FA14): 4, 奄(U+5944): 86 in DB
# Note: Other CJK compat chars with Unified_Ideograph property (not converted by NFKC):
# U+FA0E(﨎), U+FA0F(﨏), U+FA13(﨓), U+FA1F(﨟), U+FA21(﨡),
# U+FA23(﨣), U+FA24(﨤), U+FA27(﨧), U+FA28(﨨), U+FA29(﨩)
# These are not commonly used in addresses, so not included here.

# ============================================================
# Category 5: サロゲートペア (surrogates)
# BMP外の文字 (U+10000以上) → JIS X 0213内の代替文字
# Source: ABR外字縮退マップ (01_外字縮退マップ.xlsx)
# ============================================================
𠀋	丈	# U+2000B → U+4E08
𨺉	採	# U+28E89 → U+63A1
𣇃	春	# U+231C3 → U+6625
𥔎	碕	# U+2150E → U+7895
# ABR外字縮退マップより追加
𠩤	原	# U+20A64 → U+539F
𠬡	反	# U+20B21 → U+53CD
𠮷	吉	# U+20BB7 → U+5409 (つちよし)
𡧣	宏	# U+219E3 → U+5B8F
𢊊	庵	# U+2228A → U+5EB5
𥘉	初	# U+25609 → U+521D
𨳝	閏	# U+28CDD → U+958F
𩅟	雹	# U+2915F → U+96F9
𫝁	卯	# U+2B741 → U+536F
𫝊	傳	# U+2B74A → U+50B3
𫝡	堕	# U+2B761 → U+5815
𫝰	竈	# U+2B770 → U+7AC8
𫝳	扈	# U+2B773 → U+6248
𫝶	座	# U+2B776 → U+5EA7
𫞆	股	# U+2B786 → U+80A1
𫞇	臘	# U+2B787 → U+81D8
𫞉	桺	# U+2B789 → U+687A
𫞍	檀	# U+2B78D → U+6A80
𫞞	灌	# U+2B79E → U+704C
𫞪	甚	# U+2B7AA → U+751A
𫞶	撫	# U+2B7B6 → U+64AB
𫞿	簗	# U+2B7BF → U+7C17
𫟋	與	# U+2B7CB → U+8207
𫠘	鼬	# U+2B818 → U+9F2C
𭁈	與	# U+2D048 → U+8207
𭚶	彌	# U+2D6B6 → U+5F4C

# ============================================================
# Category 6: 異体字 (itaiji)
# 常用漢字表に含まれない、地名固有の異体字変換
# Source: ABR外字縮退マップ (01_外字縮退マップ.xlsx) を含む
# ============================================================
# 地名固有の異体字（常用漢字表外）
竈	釜	# 竈(U+7AC8): 290, 釜(U+91DC): 2313 in DB - 塩竈市→塩釜市
竃	釜	# 竃(U+7AC3): 16, 釜(U+91DC): 2313 in DB
嵜	崎	# 嵜(U+5D5C): 5, 崎(U+5D0E): 55441 in DB
嶋	島	# 嶋(U+5D8B): 1286, 島(U+5CF6): 183143 in DB
嶌	島	# 嶌(U+5D8C): 5, 島(U+5CF6): 183143 in DB
埜	野	# 埜(U+57DC): 142, 野(U+91CE): 87207 in DB
峯	峰	# 峯(U+5CEF): 1730, 峰(U+5CF0): 2291 in DB
冨	富	# 冨(U+51A8): 566, 富(U+5BCC): 30620 in DB
澁	渋	# 澁(U+6F81): 3, 渋(U+6E0B): 1527 in DB
邊	辺	# 邊(U+908A): 7, 辺(U+8FBA): 6347 in DB
邉	辺	# 邉(U+9089): 3, 辺(U+8FBA): 6347 in DB
檜	桧	# 檜(U+6A9C): 634, 桧(U+6867): 511 in DB
栁	柳	# 栁(U+6801): 29, 柳(U+67F3): 8589 in DB
桒	桑	# 桒(U+6852): 6, 桑(U+6851): 3923 in DB
舟	船	# 舟(U+821F): 236, 船(U+8239): 3521 in DB - 入舟→入船
冶	治	# 冶(U+51B6): 421, 治(U+6CBB): 4379 in DB - 鍛冶→鍛治
壩	壇	# 壩(U+58E9): 0, 壇(U+58C7): 456 in DB
# 地名特有の異体字（JIS X 0213内の変換）
丒	丑	# 丒(U+4E12): 6, 丑(U+4E11): 298 in DB
脵	又	# 脵(U+8135): 0, 又(U+53C8): 2940 in DB
圡	土	# 圡(U+5721): 33, 土(U+571F): 11542 in DB
# "秦", "奏" removed: distinct characters, not itaiji
冝	宜	# 冝(U+519D): 7, 宜(U+5B9C): 255 in DB
㞍	尻	# 㞍(U+378D): 0, 尻(U+5C3B): 6813 in DB
坫	岾	# 坫(U+576B): 0, 岾(U+5CBE): 4 in DB
崕	崖	# 崕(U+5D15): 6, 崖(U+5D16): 29 in DB
忰	悴	# 忰(U+5FF0): 1, 悴(U+60B4): 0 in DB
盧	戸	# 盧(U+76E7): 0, 戸(U+6238): 36531 in DB
椧	掵	# 椧(U+6927): 0, 掵(U+63B5): 38 in DB
㫖	旨	# 㫖(U+3AD6): 1, 旨(U+65E8): 9 in DB
舂	春	# 舂(U+8202): 0, 春(U+6625): 4728 in DB
朳	杁	# 朳(U+6733): 2, 杁(U+6741): 155 in DB
扚	杓	# 扚(U+625A): 3, 杓(U+6753): 49 in DB
椊	枠	# 椊(U+690A): 1, 枠(U+67A0): 15 in DB
櫨	枦	# 櫨(U+6AE8): 23, 枦(U+67A6): 55 in DB
# "桑", "桒" removed: reverse of 桒→桑 above, creating circular mapping
植	埴	# 植(U+690D): 972 in user input → 埴(U+57F4): 146 in DB
槶	椢	# 槶(U+69F6): 0, 椢(U+6922): 2 in DB
椴	椵	# 椴(U+6934): 28, 椵(U+6935): 4 in DB
樟	楠	# 樟(U+6A1F): 139, 楠(U+6960): 801 in DB
溪	渓	# 溪(U+6EAA): 89, 渓(U+6E13): 57 in DB
淵	渕	# 淵(U+6DF5): 803, 渕(U+6E15): 2622 in DB
㯃	漆	# 㯃(U+3BC3): 12, 漆(U+6F06): 798 in DB
犹	犾	# 犹(U+72B9): 1, 犾(U+72BE): 11 in DB
貒	猯	# 貒(U+8C92): 2, 猯(U+732F): 5 in DB
湫	畔	# 湫(U+6E6B): 52, 畔(U+7554): 371 in DB
疇	畴	# 疇(U+7587): 4, 畴(U+7574): 1 in DB
䟽	疏	# 䟽(U+47FD): 1, 疏(U+758F): 2 in DB
溲	疏	# 溲(U+6EB2): 1, 疏(U+758F): 2 in DB
# "磐", "盤" removed: distinct characters, not itaiji
炮	砲	# 炮(U+70AE): 18, 砲(U+7832): 95 in DB
