input,score,output,other,match_level,lg_code,pref,county,city,ward,machiaza_id,oaza_cho,chome,koaza,blk_num,blk_id,rsdt_num,rsdt_id,rsdt_num2,rsdt2_id,rsdt_addr_flg,prc_num1,prc_num2,prc_num3,prc_id,lat,lon,coordinate_level,pref_key,city_key,town_key,parcel_key,rsdtblk_key,rsdtdsp_key,spend_time
"北海道滝川市有明町４丁目５番１７号",0.83,"北海道滝川市有明町四丁目5-17",,residential_detail,012254,北海道,,滝川市,,0003004,有明町,四丁目,,5,005,17,017,,,1,,,,,43.561269114,141.891824707,residential_detail,5859364,3592693285,1788714429,,3889578567,2040316943,1.10
"北海道滝川市江部乙町７４１番地の３４",0.84,"北海道滝川市江部乙町741-34",,parcel,012254,北海道,,滝川市,,0010000,江部乙町,,,,,,,,,0,741,34,,007410003400000,43.611583887,141.936998965,parcel,5859364,3592693285,2426721115,1418791009,,,1.11
"北海道芦別市西芦別町１番地",0.85,"北海道芦別市西芦別町1","1",machiaza_detail,012165,北海道,,芦別市,,0029000,西芦別町,,,,,,,,,0,,,,,43.488072,142.174188,machiaza_detail,5859364,3630676516,1556498672,,,,1.10
"北海道芦別市北三条西２丁目３番地の１６",0.95,"北海道芦別市北三条西二丁目3番地の16","番地の16",residential_block,012165,北海道,,芦別市,,0011002,北三条西,二丁目,,3,003,,,,,1,,,,,43.521485,142.179719,residential_block,5859364,3630676516,936733849,,510419045,,1.10
"北海道芦別市北一条西１丁目６番地",0.82,"北海道芦別市北一条西一丁目6",,residential_block,012165,北海道,,芦別市,,0007001,北一条西,一丁目,,6,006,,,,,1,,,,,43.517669,142.184758,residential_block,5859364,3630676516,112411677,,1139804100,,1.10
"北海道赤平市東文京町１丁目３番地",0.82,"北海道赤平市東文京町一丁目3","3",machiaza_detail,012181,北海道,,赤平市,,0019001,東文京町,一丁目,,,,,,,,0,,,,,43.560733,142.045106,machiaza_detail,5859364,3789594286,2052635768,,,,1.10
"北海道滝川市栄町４丁目６番３０号",0.82,"北海道滝川市栄町四丁目6-30",,residential_detail,012254,北海道,,滝川市,,0021004,栄町,四丁目,,6,006,30,030,,,1,,,,,43.557057397,141.903455788,residential_detail,5859364,3592693285,1744393597,,348565604,3096944457,1.09
"北海道空知郡奈井江町字奈井江町１６９番地２",0.91,"北海道空知郡奈井江町字奈井江町169-2",,parcel,014249,北海道,空知郡,奈井江町,,0009000,字奈井江町,,,,,,,,,0,169,2,,001690000200000,43.421993281,141.8842035,parcel,5859364,4088554191,2455417305,1079279946,,,1.09
"北海道赤平市幸町５丁目２３番地",0.8,"北海道赤平市幸町五丁目23","23",machiaza_detail,012181,北海道,,赤平市,,0009005,幸町,五丁目,,,,,,,,0,,,,,43.56889,142.034396,machiaza_detail,5859364,3789594286,3171904669,,,,1.08
"北海道砂川市東四条南５丁目１番３号",0.83,"北海道砂川市東四条南五丁目1-3",,residential_detail,012262,北海道,,砂川市,,0047005,東四条南,五丁目,,1,001,3,003,,,1,,,,,43.485871714,141.909003385,residential_detail,5859364,3814530208,1137061273,,2621494439,2825857834,1.08
"北海道滝川市江部乙町西１２丁目１３番５７号",0.81,"北海道滝川市江部乙町西十二丁目13-57",,residential_detail,012254,北海道,,滝川市,,0011012,江部乙町西,十二丁目,,13,013,57,057,,,1,,,,,43.629172674,141.942763414,residential_detail,5859364,3592693285,1175681049,,4030899044,65791528,1.07
